"","plot_id","Trees_enumerated","tree_ha","BA_ha","Stem_vol_ha","biomass_ha","carbon_ton_ha"
"48","34-56-6",18,1522.14019184832,22.9854960069444,190.245581333543,224.483346239308,105.507172732475
"49","41-53-1",16,541.126806512444,12.2560354166667,71.6002282179877,75.7829956486918,35.6180079548851
"50","41-53-3",22,236.964026381266,18.3224993055556,179.231426715902,213.362881650779,100.280554375866
"51","41-53-4",15,573.399892194967,13.0270121527778,73.8996900307928,80.9725184932829,38.057083691843
"52","41-53-6",29,543.337291833165,25.3256086805556,245.174375938042,295.829100468658,139.039677220269
"53","74-39-1",11,202.038358313878,7.98574583333333,46.2969726305339,60.6147794004799,28.4889463182256
"54","74-39-3",23,470.833373313524,22.1779796875,166.172562881561,196.015513627025,92.1272914047019
"55","74-39-4",13,115.829430805768,17.93894375,148.977504522258,182.288088599406,85.6754016417206
"56","74-39-6",20,709.786836483439,19.8227789930556,168.339960573303,197.527248001635,92.8378065607686
"57","85-40-1",41,1000.68670469029,29.4193029513889,295.076634614692,329.830569250747,155.020367547851
"58","85-40-3",38,457.128364325055,27.74100625,296.2148209499,338.244899252229,158.975102648548
"59","85-40-4",40,842.858052790829,27.1004993055556,240.227910756045,266.255450506864,125.140061738226
"60","85-40-6",39,847.279023432271,28.4811364583333,283.657986349707,311.509253779413,146.409349276324
"61","9-76-1",12,1241.40855611678,20.48708125,163.308039467744,202.199749161591,95.0338821059478
"62","9-76-3",6,47.7464829275686,18.95019375,214.359422110508,269.713781712398,126.765477404827
"63","9-76-4",10,79.5774715459477,22.52868125,269.927028006216,347.701285173894,163.41960403173
"64","9-76-6",30,3927.14822079252,34.918221875,342.394316132565,424.449746398817,199.491380807444
